List,Words,Type,Example1,Example2,Example3
Dolch Third Grade,about,Dolch,We talked about it.,Tell me about your day.,What is it about?
Dolch Third Grade,better,Dolch,She feels better.,Do better next time.,This one is better.
Dolch Third Grade,bring,Dolch,Bring your book.,Bring it here.,Bring a snack.
Dolch Third Grade,carry,Dolch,Carry the box.,She can carry more.,Carry your things.
Dolch Third Grade,clean,Dolch,Clean your room.,I will clean up.,Keep your desk clean.
Dolch Third Grade,cut,Dolch,Cut the paper.,Please cut this.,Don’t cut yourself.
Dolch Third Grade,done,Dolch,I am done.,Are you done?,We are done now.
Dolch Third Grade,draw,Dolch,Draw a picture.,She can draw well.,Draw a line here.
Dolch Third Grade,drink,Dolch,Drink your water.,I need a drink.,We drink juice.
Dolch Third Grade,eight,Dolch,I see eight birds.,Eight kids came.,Count to eight.
Dolch Third Grade,fall,Dolch,Leaves fall down.,Don’t fall!,I will fall asleep soon.
Dolch Third Grade,far,Dolch,The store is far.,He ran far.,How far is it?
Dolch Third Grade,full,Dolch,The cup is full.,My bag is full.,The room is full.
Dolch Third Grade,got,Dolch,I got a toy.,She got a prize.,We got home late.
Dolch Third Grade,grow,Dolch,Plants grow.,I grow taller.,They will grow fast.
Dolch Third Grade,hold,Dolch,Hold my hand.,Hold the door.,Hold it tight.
Dolch Third Grade,hot,Dolch,The soup is hot.,It is hot outside.,The stove is hot.
Dolch Third Grade,hurt,Dolch,I hurt my arm.,That might hurt.,Don’t hurt the cat.
Dolch Third Grade,if,Dolch,If it rains, stay in.,If you try, you can.,If I run, I win.
Dolch Third Grade,keep,Dolch,Keep it safe.,Keep going.,Keep your room clean.
Dolch Third Grade,kind,Dolch,Be kind.,She is kind.,Kind friends help.
Dolch Third Grade,laugh,Dolch,I laugh a lot.,He made me laugh.,We laugh together.
Dolch Third Grade,light,Dolch,Turn on the light.,The bag is light.,The light is bright.
Dolch Third Grade,long,Dolch,The line is long.,A long trip.,The long rope fell.
Dolch Third Grade,much,Dolch,Thank you very much.,Too much sugar.,How much is it?
Dolch Third Grade,myself,Dolch,I made it myself.,I hurt myself.,I told myself the truth.
Dolch Third Grade,never,Dolch,I never lie.,We never quit.,He never ran.
Dolch Third Grade,only,Dolch,I only have one.,She is the only one.,Only do your best.
Dolch Third Grade,own,Dolch,This is my own.,Make your own.,He has his own room.
Dolch Third Grade,pick,Dolch,Pick a card.,Pick up toys.,Pick your favorite.
Dolch Third Grade,seven,Dolch,Seven kids came.,We counted seven.,Seven days in a week.
Dolch Third Grade,shall,Dolch,Shall we go?,What shall we do?,Shall I help?
Dolch Third Grade,show,Dolch,Show me.,Show your work.,I will show you later.
Dolch Third Grade,six,Dolch,I see six cats.,Six kids played.,Count to six.
Dolch Third Grade,small,Dolch,A small toy.,The room is small.,She took small steps.
Dolch Third Grade,start,Dolch,Start the game.,We start now.,Press start.
Dolch Third Grade,ten,Dolch,Ten apples fell.,Count to ten.,He scored ten points.
Dolch Third Grade,today,Dolch,Today is sunny.,We worked today.,Today felt long.
Dolch Third Grade,together,Dolch,We work together.,Walk together.,Sing together.
Dolch Third Grade,try,Dolch,Try again.,Try your best.,Let me try.
Dolch Third Grade,warm,Dolch,The soup is warm.,It feels warm.,The fire kept us warm.
