List,Words,Type,Example1,Example2,Example3
Dolch Primer,all,Dolch,All kids lined up.,I ate all the food.,We finished all our work.
Dolch Primer,am,Dolch,I am happy.,Am I late?,I am ready to go.
Dolch Primer,are,Dolch,We are here.,You are funny.,They are friends.
Dolch Primer,at,Dolch,Meet me at school.,Look at this.,He is at home.
Dolch Primer,ate,Dolch,I ate lunch.,She ate a cookie.,They ate together.
Dolch Primer,be,Dolch,Please be kind.,Be careful.,Be quiet please.
Dolch Primer,black,Dolch,The cat is black.,I saw a black bird.,He wore black shoes.
Dolch Primer,brown,Dolch,The box is brown.,The dog is brown.,She wore brown boots.
Dolch Primer,but,Dolch,I want it but can’t.,She ran but fell.,He cried but smiled later.
Dolch Primer,came,Dolch,She came home.,The dog came back.,He came to school.
Dolch Primer,did,Dolch,I did my work.,She did it well.,They did the right thing.
Dolch Primer,do,Dolch,Do your best.,Do you see it?,Do that again.
Dolch Primer,eat,Dolch,We eat lunch.,Eat your soup.,They eat together.
Dolch Primer,four,Dolch,Four kids played.,I have four grapes.,We counted four stars.
Dolch Primer,get,Dolch,Get your coat.,I need to get water.,Get the book please.
Dolch Primer,good,Dolch,She is a good friend.,Good job!,That was good work.
Dolch Primer,have,Dolch,I have a ball.,We have time.,They have a dog.
Dolch Primer,he,Dolch,He is tall.,He ran fast.,He ate lunch.
Dolch Primer,into,Dolch,Go into the room.,We walked into class.,He jumped into the pool.
Dolch Primer,like,Dolch,I like this.,She likes cats.,They like to play.
Dolch Primer,must,Dolch,You must try.,We must go.,They must listen.
Dolch Primer,new,Dolch,I got new shoes.,This is new.,A new day began.
Dolch Primer,no,Dolch,No thank you.,I said no.,There is no time.
Dolch Primer,now,Dolch,Come now.,We leave now.,Do it now.
Dolch Primer,on,Dolch,The book is on the table.,Sit on the chair.,The cat is on the bed.
Dolch Primer,our,Dolch,This is our class.,Our car is blue.,Our team won.
Dolch Primer,out,Dolch,Go out please.,The cat ran out.,We went out to play.
Dolch Primer,please,Dolch,Please sit.,Please help me.,Please be kind.
Dolch Primer,pretty,Dolch,The flower is pretty.,A pretty dress.,She is pretty too.
Dolch Primer,ran,Dolch,He ran fast.,They ran home.,The dog ran away.
Dolch Primer,ride,Dolch,We ride the bus.,Ride your bike.,He likes to ride horses.
Dolch Primer,saw,Dolch,I saw a bird.,She saw a rainbow.,We saw fireworks.
Dolch Primer,say,Dolch,Say hello.,What did you say?,Say it again.
Dolch Primer,she,Dolch,She is nice.,She likes art.,She ran home.
Dolch Primer,so,Dolch,I am tired so I slept.,It was cold so we went in.,She cried so I helped.
Dolch Primer,soon,Dolch,We will go soon.,Dinner is soon.,See you soon.
Dolch Primer,that,Dolch,That is my book.,I know that.,Give me that.
Dolch Primer,there,Dolch,There it is.,We went there.,There are three cats.
Dolch Primer,they,Dolch,They are here.,They play soccer.,They ate lunch.
Dolch Primer,this,Dolch,This is fun.,Read this.,I like this one.
Dolch Primer,too,Dolch,I want one too.,It is too big.,She came too.
Dolch Primer,under,Dolch,I hid under the bed.,The cat is under the table.,We sat under a tree.
Dolch Primer,want,Dolch,I want ice cream.,They want to play.,Do you want help?
Dolch Primer,was,Dolch,It was cold.,She was here.,He was running.
Dolch Primer,well,Dolch,I am well.,She sings well.,He did well.
Dolch Primer,went,Dolch,We went home.,She went to school.,He went swimming.
Dolch Primer,what,Dolch,What is that?,What happened?,What do you want?
Dolch Primer,white,Dolch,The snow is white.,She wore white shoes.,The paper is white.
Dolch Primer,who,Dolch,Who is here?,Who said that?,Who are you?
Dolch Primer,will,Dolch,We will go.,I will try.,She will help.
Dolch Primer,with,Dolch,Come with me.,Eat with us.,Play with your friends.
Dolch Primer,yes,Dolch,Yes please.,I said yes.,Yes I can.
