List,Words,Type,Example1,Example2,Example3
Dolch Pre-Primer,a,Dolch,I saw a cat.,She has a ball.,We read a story.
Dolch Pre-Primer,and,Dolch,I like cats and dogs.,Mom and Dad came.,He ran and jumped.
Dolch Pre-Primer,away,Dolch,The bird flew away.,Put the toys away.,She walked away slowly.
Dolch Pre-Primer,big,Dolch,The big dog barked.,That is a big truck.,I ate a big apple.
Dolch Pre-Primer,blue,Dolch,The sky is blue.,She wore a blue hat.,I painted with blue.
Dolch Pre-Primer,can,Dolch,I can run fast.,He can help.,She can read now.
Dolch Pre-Primer,come,Dolch,Come here please.,They will come later.,Come sit with me.
Dolch Pre-Primer,down,Dolch,The ball rolled down.,Look down there.,He sat down quickly.
Dolch Pre-Primer,find,Dolch,Can you find it?,I will find my shoes.,We need to find the key.
Dolch Pre-Primer,for,Dolch,This gift is for you.,Save some for me.,We made food for lunch.
Dolch Pre-Primer,funny,Dolch,The clown was funny.,That joke is funny.,My dog makes funny faces.
Dolch Pre-Primer,help,Dolch,Can you help me?,She needs help.,Come help us clean.
Dolch Pre-Primer,here,Dolch,I am here.,Put it here.,Your book is right here.
Dolch Pre-Primer,I,Dolch,I am ready.,I saw a bird.,I like to read.
Dolch Pre-Primer,in,Dolch,Put it in the box.,We walked in.,Look in the bag.
Dolch Pre-Primer,is,Dolch,This is fun.,He is tall.,She is kind.
Dolch Pre-Primer,it,Dolch,It is cold.,I found it.,It rolled away.
Dolch Pre-Primer,jump,Dolch,Jump high!,The frog can jump.,They jump in gym class.
Dolch Pre-Primer,little,Dolch,The cat is little.,She has a little cup.,I saw a little bug.
Dolch Pre-Primer,look,Dolch,Look at this.,Look up there.,Look at the picture.
Dolch Pre-Primer,make,Dolch,Let's make a cake.,Make your bed.,I will make a drawing.
Dolch Pre-Primer,me,Dolch,Give me the ball.,That belongs to me.,Come with me.
Dolch Pre-Primer,my,Dolch,This is my book.,My shoes are wet.,My friend is here.
Dolch Pre-Primer,not,Dolch,Do not run.,I am not ready.,That is not fair.
Dolch Pre-Primer,one,Dolch,She has one toy.,I ate one cookie.,Only one bird flew by.
Dolch Pre-Primer,play,Dolch,We play outside.,They play soccer.,I want to play a game.
Dolch Pre-Primer,red,Dolch,The apple is red.,He wore a red shirt.,The flower is red.
Dolch Pre-Primer,run,Dolch,I can run fast.,Run to the line.,They run together.
Dolch Pre-Primer,said,Dolch,She said yes.,He said hello.,I said thank you.
Dolch Pre-Primer,see,Dolch,See the moon.,I see a dog.,We see the stars.
Dolch Pre-Primer,the,Dolch,The sun is bright.,The dog ran.,I lost the book.
Dolch Pre-Primer,three,Dolch,I have three pencils.,Three kids played.,We ate three grapes.
Dolch Pre-Primer,to,Dolch,Walk to school.,Give it to me.,We ran to the park.
Dolch Pre-Primer,two,Dolch,Two kids laughed.,I have two pens.,Two dogs barked.
Dolch Pre-Primer,up,Dolch,Look up.,Climb up the slide.,The balloon went up.
Dolch Pre-Primer,we,Dolch,We are friends.,We will go.,We like to read.
Dolch Pre-Primer,where,Dolch,Where are you?,Where is my coat?,Where did it go?
Dolch Pre-Primer,yellow,Dolch,The sun is yellow.,My shirt is yellow.,She likes yellow flowers.
Dolch Pre-Primer,you,Dolch,You are nice.,I saw you.,Can you help me?
